"data_source","signal","geo_value","time_value","source","geo_type","time_type","issue","lag","missing_value","missing_stderr","missing_sample_size","value","stderr","sample_size"
"hhs","confirmed_admissions_covid_1d","sd",2020-04-15,"hhs","state","day",2023-04-13,1093,5,5,5,NA,NA,NA
"hhs","confirmed_admissions_covid_1d","tn",2020-04-15,"hhs","state","day",2023-04-13,1093,5,5,5,NA,NA,NA
"hhs","confirmed_admissions_covid_1d","tx",2020-04-15,"hhs","state","day",2023-04-13,1093,5,5,5,NA,NA,NA
"hhs","confirmed_admissions_covid_1d","ut",2020-04-15,"hhs","state","day",2023-04-13,1093,5,5,5,NA,NA,NA
"hhs","confirmed_admissions_covid_1d","va",2020-04-15,"hhs","state","day",2023-04-13,1093,5,5,5,NA,NA,NA
"hhs","confirmed_admissions_covid_1d","vi",2020-04-15,"hhs","state","day",2023-04-13,1093,5,5,5,NA,NA,NA
"hhs","confirmed_admissions_covid_1d","vt",2020-04-15,"hhs","state","day",2023-04-13,1093,5,5,5,NA,NA,NA
"hhs","confirmed_admissions_covid_1d","wa",2020-04-15,"hhs","state","day",2023-04-13,1093,5,5,5,NA,NA,NA
"hhs","confirmed_admissions_covid_1d","wi",2020-04-15,"hhs","state","day",2023-04-13,1093,5,5,5,NA,NA,NA
"hhs","confirmed_admissions_covid_1d","wv",2020-04-15,"hhs","state","day",2023-04-13,1093,5,5,5,NA,NA,NA
"hhs","confirmed_admissions_covid_1d","wy",2020-04-15,"hhs","state","day",2023-04-13,1093,5,5,5,NA,NA,NA
"hhs","confirmed_admissions_covid_1d","ak",2020-04-16,"hhs","state","day",2023-04-13,1092,5,5,5,NA,NA,NA
"hhs","confirmed_admissions_covid_1d","al",2020-04-16,"hhs","state","day",2023-04-13,1092,5,5,5,NA,NA,NA
"hhs","confirmed_admissions_covid_1d","ar",2020-04-16,"hhs","state","day",2023-04-13,1092,5,5,5,NA,NA,NA
"hhs","confirmed_admissions_covid_1d","az",2020-04-16,"hhs","state","day",2023-04-13,1092,5,5,5,NA,NA,NA
"hhs","confirmed_admissions_covid_1d","ca",2020-04-16,"hhs","state","day",2023-04-13,1092,5,5,5,NA,NA,NA
"hhs","confirmed_admissions_covid_1d","co",2020-04-16,"hhs","state","day",2023-04-13,1092,5,5,5,NA,NA,NA
"hhs","confirmed_admissions_covid_1d","ct",2020-04-16,"hhs","state","day",2023-04-13,1092,5,5,5,NA,NA,NA
"hhs","confirmed_admissions_covid_1d","dc",2020-04-16,"hhs","state","day",2023-04-13,1092,5,5,5,NA,NA,NA
"hhs","confirmed_admissions_covid_1d","de",2020-04-16,"hhs","state","day",2023-04-13,1092,5,5,5,NA,NA,NA
"hhs","confirmed_admissions_covid_1d","fl",2020-04-16,"hhs","state","day",2023-04-13,1092,5,5,5,NA,NA,NA
"hhs","confirmed_admissions_covid_1d","ga",2020-04-16,"hhs","state","day",2023-04-13,1092,5,5,5,NA,NA,NA
"hhs","confirmed_admissions_covid_1d","hi",2020-04-16,"hhs","state","day",2023-04-13,1092,5,5,5,NA,NA,NA
"hhs","confirmed_admissions_covid_1d","ia",2020-04-16,"hhs","state","day",2023-04-13,1092,5,5,5,NA,NA,NA
"hhs","confirmed_admissions_covid_1d","id",2020-04-16,"hhs","state","day",2023-04-13,1092,5,5,5,NA,NA,NA
"hhs","confirmed_admissions_covid_1d","il",2020-04-16,"hhs","state","day",2023-04-13,1092,5,5,5,NA,NA,NA
"hhs","confirmed_admissions_covid_1d","in",2020-04-16,"hhs","state","day",2023-04-13,1092,5,5,5,NA,NA,NA
"hhs","confirmed_admissions_covid_1d","ks",2020-04-16,"hhs","state","day",2023-04-13,1092,5,5,5,NA,NA,NA
"hhs","confirmed_admissions_covid_1d","ky",2020-04-16,"hhs","state","day",2023-04-13,1092,5,5,5,NA,NA,NA
"hhs","confirmed_admissions_covid_1d","la",2020-04-16,"hhs","state","day",2023-04-13,1092,5,5,5,NA,NA,NA
"hhs","confirmed_admissions_covid_1d","ma",2020-04-16,"hhs","state","day",2023-04-13,1092,5,5,5,NA,NA,NA
"hhs","confirmed_admissions_covid_1d","md",2020-04-16,"hhs","state","day",2023-04-13,1092,5,5,5,NA,NA,NA
"hhs","confirmed_admissions_covid_1d","me",2020-04-16,"hhs","state","day",2023-04-13,1092,5,5,5,NA,NA,NA
"hhs","confirmed_admissions_covid_1d","mi",2020-04-16,"hhs","state","day",2023-04-13,1092,5,5,5,NA,NA,NA
"hhs","confirmed_admissions_covid_1d","mn",2020-04-16,"hhs","state","day",2023-04-13,1092,5,5,5,NA,NA,NA
"hhs","confirmed_admissions_covid_1d","mo",2020-04-16,"hhs","state","day",2023-04-13,1092,5,5,5,NA,NA,NA
"hhs","confirmed_admissions_covid_1d","ms",2020-04-16,"hhs","state","day",2023-04-13,1092,5,5,5,NA,NA,NA
"hhs","confirmed_admissions_covid_1d","mt",2020-04-16,"hhs","state","day",2023-04-13,1092,5,5,5,NA,NA,NA
"hhs","confirmed_admissions_covid_1d","nc",2020-04-16,"hhs","state","day",2023-04-13,1092,5,5,5,NA,NA,NA
"hhs","confirmed_admissions_covid_1d","nd",2020-04-16,"hhs","state","day",2023-04-13,1092,5,5,5,NA,NA,NA
"hhs","confirmed_admissions_covid_1d","ne",2020-04-16,"hhs","state","day",2023-04-13,1092,5,5,5,NA,NA,NA
"hhs","confirmed_admissions_covid_1d","nh",2020-04-16,"hhs","state","day",2023-04-13,1092,5,5,5,NA,NA,NA
"hhs","confirmed_admissions_covid_1d","nj",2020-04-16,"hhs","state","day",2023-04-13,1092,5,5,5,NA,NA,NA
"hhs","confirmed_admissions_covid_1d","nm",2020-04-16,"hhs","state","day",2023-04-13,1092,5,5,5,NA,NA,NA
"hhs","confirmed_admissions_covid_1d","nv",2020-04-16,"hhs","state","day",2023-04-13,1092,5,5,5,NA,NA,NA
"hhs","confirmed_admissions_covid_1d","ny",2020-04-16,"hhs","state","day",2023-04-13,1092,5,5,5,NA,NA,NA
"hhs","confirmed_admissions_covid_1d","oh",2020-04-16,"hhs","state","day",2023-04-13,1092,5,5,5,NA,NA,NA
"hhs","confirmed_admissions_covid_1d","ok",2020-04-16,"hhs","state","day",2023-04-13,1092,5,5,5,NA,NA,NA
"hhs","confirmed_admissions_covid_1d","or",2020-04-16,"hhs","state","day",2023-04-13,1092,5,5,5,NA,NA,NA
"hhs","confirmed_admissions_covid_1d","pa",2020-04-16,"hhs","state","day",2023-04-13,1092,5,5,5,NA,NA,NA
"hhs","confirmed_admissions_covid_1d","pr",2020-04-16,"hhs","state","day",2023-04-13,1092,5,5,5,NA,NA,NA
"hhs","confirmed_admissions_covid_1d","ri",2020-04-16,"hhs","state","day",2023-04-13,1092,0,5,5,0,NA,NA
"hhs","confirmed_admissions_covid_1d","sc",2020-04-16,"hhs","state","day",2023-04-13,1092,5,5,5,NA,NA,NA
"hhs","confirmed_admissions_covid_1d","sd",2020-04-16,"hhs","state","day",2023-04-13,1092,5,5,5,NA,NA,NA
"hhs","confirmed_admissions_covid_1d","tn",2020-04-16,"hhs","state","day",2023-04-13,1092,5,5,5,NA,NA,NA
"hhs","confirmed_admissions_covid_1d","tx",2020-04-16,"hhs","state","day",2023-04-13,1092,5,5,5,NA,NA,NA
"hhs","confirmed_admissions_covid_1d","ut",2020-04-16,"hhs","state","day",2023-04-13,1092,5,5,5,NA,NA,NA
"hhs","confirmed_admissions_covid_1d","va",2020-04-16,"hhs","state","day",2023-04-13,1092,5,5,5,NA,NA,NA
"hhs","confirmed_admissions_covid_1d","vi",2020-04-16,"hhs","state","day",2023-04-13,1092,5,5,5,NA,NA,NA
"hhs","confirmed_admissions_covid_1d","vt",2020-04-16,"hhs","state","day",2023-04-13,1092,5,5,5,NA,NA,NA
"hhs","confirmed_admissions_covid_1d","wa",2020-04-16,"hhs","state","day",2023-04-13,1092,5,5,5,NA,NA,NA
"hhs","confirmed_admissions_covid_1d","wi",2020-04-16,"hhs","state","day",2023-04-13,1092,5,5,5,NA,NA,NA
